         Deformacion;     Fuerza
  1,321757793427e+00;  5,193419265747e+01
  1,311719775200e+00;  4,991255950928e+01
  1,299355268478e+00;  4,745604324341e+01
  1,289289355278e+00;  4,554301071167e+01
  1,277119874954e+00;  4,326137542725e+01
  1,264601945877e+00;  4,102937316895e+01
  1,252077221870e+00;  3,884625244141e+01
  1,239573240280e+00;  3,673062896729e+01
  1,229437828064e+00;  3,509022140503e+01
  1,219267487526e+00;  3,349401092529e+01
  1,206833243370e+00;  3,160267639160e+01
  1,194398999214e+00;  2,977909088135e+01
  1,186771273613e+00;  2,877838706970e+01
  1,182222485542e+00;  2,821017265320e+01
  1,177346229553e+00;  2,755114555359e+01
  1,169711589813e+00;  2,677810287476e+01
  1,167600870132e+00;  2,677676200867e+01
  1,166980862617e+00;  2,693200874329e+01
  1,169237852097e+00;  2,795583915710e+01
  1,180675983429e+00;  3,041066551208e+01
  1,192114114761e+00;  3,292250061035e+01
  1,202131152153e+00;  3,493287277222e+01
  1,214300751686e+00;  3,737628936768e+01
  1,226769804955e+00;  3,980782699585e+01
  1,239238858223e+00;  4,226210403442e+01
  1,249290823936e+00;  4,418788528442e+01
  1,261550903320e+00;  4,657401275635e+01
  1,271630644798e+00;  4,848366546631e+01
  1,283835053444e+00;  5,084665679932e+01
  1,293886899948e+00;  5,276941680908e+01
  1,304126858711e+00;  5,472229003906e+01
  1,316352128983e+00;  5,714602279663e+01
  1,326731443405e+00;  5,911267089844e+01
  1,336880922318e+00;  6,109449005127e+01
  1,349057435989e+00;  6,352335357666e+01
  1,359346151352e+00;  6,546965026855e+01
  1,371557474136e+00;  6,788360595703e+01
  1,383942961693e+00;  7,030616760254e+01
  1,394127249718e+00;  7,226408386230e+01
  1,406582355499e+00;  7,466696929932e+01
  1,416648149490e+00;  7,649158477783e+01
  1,421433806419e+00;  7,725706481934e+01
  1,426769733429e+00;  7,814894104004e+01
  1,434627413750e+00;  7,898431396484e+01
  1,436786770821e+00;  7,873523712158e+01
  1,437413811684e+00;  7,829405975342e+01
  1,433498859406e+00;  7,629472351074e+01
  1,422813057899e+00;  7,332933807373e+01
  1,410915255547e+00;  6,999600982666e+01
  1,398829221725e+00;  6,682463836670e+01
  1,386638760567e+00;  6,376057434082e+01
  1,376454591751e+00;  6,140621948242e+01
  1,364417314529e+00;  5,859479141235e+01
  1,354316711426e+00;  5,638109588623e+01
  1,344097614288e+00;  5,422302627563e+01
  1,331837534904e+00;  5,162460708618e+01
  1,321472167969e+00;  4,959336853027e+01
  1,309093594551e+00;  4,714459228516e+01
  1,296554923058e+00;  4,477119827271e+01
  1,286523938179e+00;  4,293173980713e+01
  1,274451851845e+00;  4,074098587036e+01
  1,264337301254e+00;  3,901894760132e+01
  1,251812458038e+00;  3,688395309448e+01
  1,239294648170e+00;  3,483018493652e+01
  1,229193925858e+00;  3,321796417236e+01
  1,219023704529e+00;  3,165971946716e+01
  1,206603288651e+00;  2,980496025085e+01
  1,199205517769e+00;  2,879931259155e+01
  1,194517374039e+00;  2,822075653076e+01
  1,189258098602e+00;  2,754394721985e+01
  1,181936860085e+00;  2,677293014526e+01
  1,179916739464e+00;  2,678662300110e+01
  1,179275870323e+00;  2,695654296875e+01
  1,179220080376e+00;  2,723339843750e+01
  1,189801454544e+00;  2,984118461609e+01
  1,201504230499e+00;  3,233974075317e+01
  1,213346362114e+00;  3,483533096313e+01
  1,225606560707e+00;  3,730283355713e+01
  1,238040804863e+00;  3,976422882080e+01
  1,248050808907e+00;  4,171364593506e+01
  1,260311007500e+00;  4,414295196533e+01
  1,270397663116e+00;  4,608337783813e+01
  1,282657742500e+00;  4,846679687500e+01
  1,295175671577e+00;  5,086853027344e+01
  1,305436491966e+00;  5,282214355469e+01
  1,317592144012e+00;  5,526914215088e+01
  1,328041076660e+00;  5,725444793701e+01
  1,338099956512e+00;  5,922627258301e+01
  1,350262522697e+00;  6,167924880981e+01
  1,360620856285e+00;  6,364245223999e+01
  1,372776508331e+00;  6,609966278076e+01
  1,385245561600e+00;  6,855509948730e+01
  1,395367145538e+00;  7,051848602295e+01
  1,407801389694e+00;  7,297195434570e+01
  1,417895078659e+00;  7,494589996338e+01
  1,427933096886e+00;  7,678861236572e+01
  1,432481884956e+00;  7,753202819824e+01
  1,437281370163e+00;  7,836750793457e+01
  1,444254279137e+00;  7,911093139648e+01
  1,446260571480e+00;  7,887712860107e+01
  1,446873545647e+00;  7,847905731201e+01
  1,446434736252e+00;  7,764899444580e+01
  1,436097145081e+00;  7,451211547852e+01
  1,424394369125e+00;  7,117402648926e+01
  1,412224769592e+00;  6,787937164307e+01
  1,399943828583e+00;  6,479755401611e+01
  1,387718558311e+00;  6,184015655518e+01
  1,377464652061e+00;  5,953592681885e+01
  1,365427374840e+00;  5,676658248901e+01
  1,355326771736e+00;  5,459230804443e+01
  1,345072865486e+00;  5,248202896118e+01
  1,332847595215e+00;  4,992302322388e+01
  1,322503089905e+00;  4,790481948853e+01
  1,312437295914e+00;  4,596854019165e+01
  1,300121426582e+00;  4,362820053101e+01
  1,290006875992e+00;  4,180218887329e+01
  1,277865171432e+00;  3,961938858032e+01
  1,265312552452e+00;  3,750127792358e+01
  1,252829551697e+00;  3,540738296509e+01
  1,240318655968e+00;  3,337528228760e+01
  1,230169177055e+00;  3,180743026733e+01
  1,220033764839e+00;  3,028006172180e+01
  1,210072398186e+00;  2,887020301819e+01
  1,205384254456e+00;  2,828085517883e+01
  1,200076222420e+00;  2,759077835083e+01
  1,192128062248e+00;  2,668983459473e+01
  1,190052151680e+00;  2,669700050354e+01
  1,189460039139e+00;  2,684202766418e+01
  1,189320802689e+00;  2,706530380249e+01
  1,199693083763e+00;  2,965799903870e+01
  1,210755109787e+00;  3,207531738281e+01
  1,222611188889e+00;  3,455893707275e+01
  1,234906077385e+00;  3,708762741089e+01
  1,244916200638e+00;  3,908020401001e+01
  1,257106661797e+00;  4,152307128906e+01
  1,267137646675e+00;  4,345080947876e+01
  1,277154684067e+00;  4,536770629883e+01
  1,289184927940e+00;  4,777855300903e+01
  1,299564242363e+00;  4,977146148682e+01
  1,309664845467e+00;  5,173965454102e+01
  1,321945905685e+00;  5,417006683350e+01
  1,332387804985e+00;  5,615703201294e+01
  1,344634056091e+00;  5,862376403809e+01
  1,354665040970e+00;  6,060869979858e+01
  1,364765644073e+00;  6,259411621094e+01
  1,376921296120e+00;  6,505654144287e+01
  1,387091636658e+00;  6,704511260986e+01
  1,397108674049e+00;  6,903008270264e+01
  1,409508109093e+00;  7,150251007080e+01
  1,419678449631e+00;  7,351269531250e+01
  1,429744243622e+00;  7,553890228271e+01
  1,434773683548e+00;  7,647531890869e+01
